L	alpha	nonsquare	directory	version	nspins	full
4	1	True	modified_RBM_low_model_id=0	v3	16	False
4	1	True	modified_RBM_low_model_id=1	v3	16	False
4	1	True	modified_RBM_low_model_id=2	v3	16	False
4	1	True	modified_RBM_low_model_id=3	v3	16	False
4	1	True	modified_RBM_low_model_id=4	v3	16	False
6	1	True	modified_RBM_low_model_id=0	v3	36	False
6	1	True	modified_RBM_low_model_id=1	v3	36	False
6	1	True	modified_RBM_low_model_id=2	v3	36	False
6	1	True	modified_RBM_low_model_id=3	v3	36	False
6	1	True	modified_RBM_low_model_id=4	v3	36	False
8	1	True	modified_RBM_low_model_id=0	v3	64	False
8	1	True	modified_RBM_low_model_id=1	v3	64	False
8	1	True	modified_RBM_low_model_id=2	v3	64	False
8	1	True	modified_RBM_low_model_id=3	v3	64	False
8	1	True	modified_RBM_low_model_id=4	v3	64	False
10	1	True	modified_RBM_low_model_id=0	v3	100	False
10	1	True	modified_RBM_low_model_id=1	v3	100	False
10	1	True	modified_RBM_low_model_id=2	v3	100	False
10	1	True	modified_RBM_low_model_id=3	v3	100	False
10	1	True	modified_RBM_low_model_id=4	v3	100	False
4	2	True	modified_RBM_low_model_id=0	v3	16	False
4	2	True	modified_RBM_low_model_id=1	v3	16	False
4	2	True	modified_RBM_low_model_id=2	v3	16	False
4	2	True	modified_RBM_low_model_id=3	v3	16	False
4	2	True	modified_RBM_low_model_id=4	v3	16	False
6	2	True	modified_RBM_low_model_id=0	v3	36	False
6	2	True	modified_RBM_low_model_id=1	v3	36	False
6	2	True	modified_RBM_low_model_id=2	v3	36	False
6	2	True	modified_RBM_low_model_id=3	v3	36	False
6	2	True	modified_RBM_low_model_id=4	v3	36	False
8	2	True	modified_RBM_low_model_id=0	v3	64	False
8	2	True	modified_RBM_low_model_id=1	v3	64	False
8	2	True	modified_RBM_low_model_id=2	v3	64	False
8	2	True	modified_RBM_low_model_id=3	v3	64	False
8	2	True	modified_RBM_low_model_id=4	v3	64	False
10	2	True	modified_RBM_low_model_id=0	v3	100	False
10	2	True	modified_RBM_low_model_id=1	v3	100	False
10	2	True	modified_RBM_low_model_id=2	v3	100	False
10	2	True	modified_RBM_low_model_id=3	v3	100	False
10	2	True	modified_RBM_low_model_id=4	v3	100	False
12	2	True	modified_RBM_low_model_id=0	v3	144	False
12	2	True	modified_RBM_low_model_id=1	v3	144	False
12	2	True	modified_RBM_low_model_id=2	v3	144	False
12	2	True	modified_RBM_low_model_id=3	v3	144	False
12	2	True	modified_RBM_low_model_id=4	v3	144	False
14	2	True	modified_RBM_low_model_id=0	v3	196	False
14	2	True	modified_RBM_low_model_id=1	v3	196	False
14	2	True	modified_RBM_low_model_id=2	v3	196	False
14	2	True	modified_RBM_low_model_id=3	v3	196	False
14	2	True	modified_RBM_low_model_id=4	v3	196	False
4	3	True	modified_RBM_low_model_id=0	v3	16	False
4	3	True	modified_RBM_low_model_id=1	v3	16	False
4	3	True	modified_RBM_low_model_id=2	v3	16	False
4	3	True	modified_RBM_low_model_id=3	v3	16	False
4	3	True	modified_RBM_low_model_id=4	v3	16	False
6	3	True	modified_RBM_low_model_id=0	v3	36	False
6	3	True	modified_RBM_low_model_id=1	v3	36	False
6	3	True	modified_RBM_low_model_id=2	v3	36	False
6	3	True	modified_RBM_low_model_id=3	v3	36	False
6	3	True	modified_RBM_low_model_id=4	v3	36	False
8	3	True	modified_RBM_low_model_id=0	v3	64	False
8	3	True	modified_RBM_low_model_id=1	v3	64	False
8	3	True	modified_RBM_low_model_id=2	v3	64	False
8	3	True	modified_RBM_low_model_id=3	v3	64	False
8	3	True	modified_RBM_low_model_id=4	v3	64	False
10	3	True	modified_RBM_low_model_id=0	v3	100	False
10	3	True	modified_RBM_low_model_id=1	v3	100	False
10	3	True	modified_RBM_low_model_id=2	v3	100	False
10	3	True	modified_RBM_low_model_id=3	v3	100	False
10	3	True	modified_RBM_low_model_id=4	v3	100	False
12	3	True	modified_RBM_low_model_id=0	v3	144	False
12	3	True	modified_RBM_low_model_id=1	v3	144	False
12	3	True	modified_RBM_low_model_id=2	v3	144	False
12	3	True	modified_RBM_low_model_id=3	v3	144	False
12	3	True	modified_RBM_low_model_id=4	v3	144	False
14	3	True	modified_RBM_low_model_id=0	v3	196	False
14	3	True	modified_RBM_low_model_id=1	v3	196	False
14	3	True	modified_RBM_low_model_id=2	v3	196	False
14	3	True	modified_RBM_low_model_id=3	v3	196	False
14	3	True	modified_RBM_low_model_id=4	v3	196	False
4	4	True	modified_RBM_low_model_id=0	v3	16	False
4	4	True	modified_RBM_low_model_id=1	v3	16	False
4	4	True	modified_RBM_low_model_id=2	v3	16	False
4	4	True	modified_RBM_low_model_id=3	v3	16	False
4	4	True	modified_RBM_low_model_id=4	v3	16	False
6	4	True	modified_RBM_low_model_id=0	v3	36	False
6	4	True	modified_RBM_low_model_id=1	v3	36	False
6	4	True	modified_RBM_low_model_id=2	v3	36	False
6	4	True	modified_RBM_low_model_id=3	v3	36	False
6	4	True	modified_RBM_low_model_id=4	v3	36	False
8	4	True	modified_RBM_low_model_id=0	v3	64	False
8	4	True	modified_RBM_low_model_id=1	v3	64	False
8	4	True	modified_RBM_low_model_id=2	v3	64	False
8	4	True	modified_RBM_low_model_id=3	v3	64	False
8	4	True	modified_RBM_low_model_id=4	v3	64	False
10	4	True	modified_RBM_low_model_id=0	v3	100	False
10	4	True	modified_RBM_low_model_id=1	v3	100	False
10	4	True	modified_RBM_low_model_id=2	v3	100	False
10	4	True	modified_RBM_low_model_id=3	v3	100	False
10	4	True	modified_RBM_low_model_id=4	v3	100	False
12	4	True	modified_RBM_low_model_id=0	v3	144	False
12	4	True	modified_RBM_low_model_id=1	v3	144	False
12	4	True	modified_RBM_low_model_id=2	v3	144	False
12	4	True	modified_RBM_low_model_id=3	v3	144	False
12	4	True	modified_RBM_low_model_id=4	v3	144	False
14	4	True	modified_RBM_low_model_id=0	v3	196	False
14	4	True	modified_RBM_low_model_id=1	v3	196	False
14	4	True	modified_RBM_low_model_id=2	v3	196	False
14	4	True	modified_RBM_low_model_id=3	v3	196	False
14	4	True	modified_RBM_low_model_id=4	v3	196	False
4	8	True	modified_RBM_low_model_id=0	v3	16	False
4	8	True	modified_RBM_low_model_id=1	v3	16	False
4	8	True	modified_RBM_low_model_id=2	v3	16	False
4	8	True	modified_RBM_low_model_id=3	v3	16	False
4	8	True	modified_RBM_low_model_id=4	v3	16	False
6	8	True	modified_RBM_low_model_id=0	v3	36	False
6	8	True	modified_RBM_low_model_id=1	v3	36	False
6	8	True	modified_RBM_low_model_id=2	v3	36	False
6	8	True	modified_RBM_low_model_id=3	v3	36	False
6	8	True	modified_RBM_low_model_id=4	v3	36	False
8	8	True	modified_RBM_low_model_id=0	v3	64	False
8	8	True	modified_RBM_low_model_id=1	v3	64	False
8	8	True	modified_RBM_low_model_id=2	v3	64	False
8	8	True	modified_RBM_low_model_id=3	v3	64	False
8	8	True	modified_RBM_low_model_id=4	v3	64	False
10	8	True	modified_RBM_low_model_id=0	v3	100	False
10	8	True	modified_RBM_low_model_id=1	v3	100	False
10	8	True	modified_RBM_low_model_id=2	v3	100	False
10	8	True	modified_RBM_low_model_id=3	v3	100	False
10	8	True	modified_RBM_low_model_id=4	v3	100	False
16	2	True	modified_RBM_high_model_id=0	v3	256	False
16	2	True	modified_RBM_high_model_id=1	v3	256	False
16	2	True	modified_RBM_high_model_id=2	v3	256	False
16	2	True	modified_RBM_high_model_id=3	v3	256	False
16	2	True	modified_RBM_high_model_id=4	v3	256	False
18	2	True	modified_RBM_high_model_id=0	v3	324	False
18	2	True	modified_RBM_high_model_id=1	v3	324	False
18	2	True	modified_RBM_high_model_id=2	v3	324	False
18	2	True	modified_RBM_high_model_id=3	v3	324	False
18	2	True	modified_RBM_high_model_id=4	v3	324	False
20	2	True	modified_RBM_high_model_id=0	v3	400	False
20	2	True	modified_RBM_high_model_id=1	v3	400	False
20	2	True	modified_RBM_high_model_id=2	v3	400	False
20	2	True	modified_RBM_high_model_id=3	v3	400	False
20	2	True	modified_RBM_high_model_id=4	v3	400	False
22	2	True	modified_RBM_high_model_id=0	v3	484	False
22	2	True	modified_RBM_high_model_id=1	v3	484	False
22	2	True	modified_RBM_high_model_id=2	v3	484	False
22	2	True	modified_RBM_high_model_id=3	v3	484	False
22	2	True	modified_RBM_high_model_id=4	v3	484	False
16	3	True	modified_RBM_high_model_id=0	v3	256	False
16	3	True	modified_RBM_high_model_id=1	v3	256	False
16	3	True	modified_RBM_high_model_id=2	v3	256	False
16	3	True	modified_RBM_high_model_id=3	v3	256	False
16	3	True	modified_RBM_high_model_id=4	v3	256	False
18	3	True	modified_RBM_high_model_id=0	v3	324	False
18	3	True	modified_RBM_high_model_id=1	v3	324	False
18	3	True	modified_RBM_high_model_id=2	v3	324	False
18	3	True	modified_RBM_high_model_id=3	v3	324	False
18	3	True	modified_RBM_high_model_id=4	v3	324	False
20	3	True	modified_RBM_high_model_id=0	v3	400	False
20	3	True	modified_RBM_high_model_id=1	v3	400	False
20	3	True	modified_RBM_high_model_id=2	v3	400	False
20	3	True	modified_RBM_high_model_id=3	v3	400	False
20	3	True	modified_RBM_high_model_id=4	v3	400	False
22	3	True	modified_RBM_high_model_id=0	v3	484	False
22	3	True	modified_RBM_high_model_id=1	v3	484	False
22	3	True	modified_RBM_high_model_id=2	v3	484	False
22	3	True	modified_RBM_high_model_id=3	v3	484	False
22	3	True	modified_RBM_high_model_id=4	v3	484	False
16	4	True	modified_RBM_high_model_id=0	v3	256	False
16	4	True	modified_RBM_high_model_id=1	v3	256	False
16	4	True	modified_RBM_high_model_id=2	v3	256	False
16	4	True	modified_RBM_high_model_id=3	v3	256	False
16	4	True	modified_RBM_high_model_id=4	v3	256	False
18	4	True	modified_RBM_high_model_id=0	v3	324	False
18	4	True	modified_RBM_high_model_id=1	v3	324	False
18	4	True	modified_RBM_high_model_id=2	v3	324	False
18	4	True	modified_RBM_high_model_id=3	v3	324	False
18	4	True	modified_RBM_high_model_id=4	v3	324	False
20	4	True	modified_RBM_high_model_id=0	v3	400	False
20	4	True	modified_RBM_high_model_id=1	v3	400	False
20	4	True	modified_RBM_high_model_id=2	v3	400	False
20	4	True	modified_RBM_high_model_id=3	v3	400	False
20	4	True	modified_RBM_high_model_id=4	v3	400	False
22	4	True	modified_RBM_high_model_id=0	v3	484	False
22	4	True	modified_RBM_high_model_id=1	v3	484	False
22	4	True	modified_RBM_high_model_id=2	v3	484	False
22	4	True	modified_RBM_high_model_id=3	v3	484	False
22	4	True	modified_RBM_high_model_id=4	v3	484	False
12	8	True	modified_RBM_high_model_id=0	v3	144	False
12	8	True	modified_RBM_high_model_id=1	v3	144	False
12	8	True	modified_RBM_high_model_id=2	v3	144	False
12	8	True	modified_RBM_high_model_id=3	v3	144	False
12	8	True	modified_RBM_high_model_id=4	v3	144	False
14	8	True	modified_RBM_high_model_id=0	v3	196	False
14	8	True	modified_RBM_high_model_id=1	v3	196	False
14	8	True	modified_RBM_high_model_id=2	v3	196	False
14	8	True	modified_RBM_high_model_id=3	v3	196	False
14	8	True	modified_RBM_high_model_id=4	v3	196	False
16	8	True	modified_RBM_high_model_id=0	v3	256	False
16	8	True	modified_RBM_high_model_id=1	v3	256	False
16	8	True	modified_RBM_high_model_id=2	v3	256	False
16	8	True	modified_RBM_high_model_id=3	v3	256	False
16	8	True	modified_RBM_high_model_id=4	v3	256	False
18	8	True	modified_RBM_high_model_id=0	v3	324	False
18	8	True	modified_RBM_high_model_id=1	v3	324	False
18	8	True	modified_RBM_high_model_id=2	v3	324	False
18	8	True	modified_RBM_high_model_id=3	v3	324	False
18	8	True	modified_RBM_high_model_id=4	v3	324	False
20	8	True	modified_RBM_high_model_id=0	v3	400	False
20	8	True	modified_RBM_high_model_id=1	v3	400	False
20	8	True	modified_RBM_high_model_id=2	v3	400	False
20	8	True	modified_RBM_high_model_id=3	v3	400	False
20	8	True	modified_RBM_high_model_id=4	v3	400	False
